Config,R2,RMSE,MAE,AUC,Balanced_Acc,F1,Feature_Count
price_only,-0.013269534533300265,0.02177786667174455,0.01475390577795699,0.46891674217255613,0.4962121212121212,0.6336154776299879,11
sentiment_only,-0.013698389627911922,0.021782474804500747,0.015222356844277727,0.470275848182825,0.4853455652874258,0.6197530864197531,12
no_lag_return,-0.005478036633484562,0.02169397504762881,0.01482457674116945,0.44722138326789485,0.4844772475586429,0.6036269430051814,16
full_model,-0.0038072266475661642,0.021675943037422096,0.014778105411109355,0.4841437632135307,0.49787325078022754,0.6343825665859564,19
