Config,R2,RMSE,MAE,AUC,Balanced_Acc,F1,Feature_Count
price_only,-0.02186285225897322,0.021870018371196395,0.014984645172286535,0.5239479512735327,0.5,0.6369119420989143,11
sentiment_only,-0.03223268739841423,0.021980706427191347,0.015077971847688231,0.47176079734219273,0.47181113460183227,0.5641748942172073,12
no_lag_return,-0.03508697153890861,0.022011075486162,0.014923590915475918,0.5100926205577369,0.49983011174871644,0.6248431618569636,16
full_model,-0.022917739073964327,0.02188130385977799,0.014829624107247115,0.4619702003422934,0.4969420114768952,0.6308068459657702,19
