Config,R2,RMSE,MAE,AUC,Balanced_Acc,F1,Feature_Count
price_only,-0.09970545061821157,0.02268772925618224,0.015923543135335245,0.46233514547468035,0.4962121212121212,0.6336154776299879,16
sentiment_only,-0.09806217329191802,0.02267077191134515,0.016334483357966955,0.510193295077016,0.5,0.6369119420989143,17
no_lag_return,-0.2189759441716994,0.0238863839922984,0.017066689610053205,0.46994865599516766,0.5,0.6369119420989143,26
full_model,-0.2760187526745095,0.02443888403078873,0.018468674595905076,0.45575354877680463,0.49039187556629416,0.61003861003861,29
