Model,R2,RMSE,MAE,AUC,Balanced_Acc,F1
Naive,-0.8436596446091269,0.01601948603733913,0.011539662050942395,0.5095010080645161,0.5095010080645161,0.461839530332681
LR,-0.05208100759656298,0.012101321350383614,0.008531898919872228,0.5054057459677419,0.5376260080645161,0.5429553264604811
ARIMA,-0.0022530349033398345,0.011811278051339238,0.008221777076701112,0.46524697580645163,0.5032258064516129,0.624390243902439
LSTM,-0.0031883395020164684,0.011816787920698986,0.00812295019690131,0.5,0.5,0.6228710462287105
GRU,-0.037728727047004806,0.012018495995134026,0.008203120229433387,0.5025201612903226,0.5,0.6228710462287105
RF,-0.22231557669197533,0.01304367221592747,0.00915143663159025,0.5308089717741935,0.5102696572580645,0.6254635352286774
Transformer,-0.05298994225267717,0.012106547628408263,0.008352657802435888,0.4971900201612903,0.4908266129032258,0.6123456790123457
Ensemble,-0.019364898711620615,0.011911680630567235,0.00822544916995682,0.5474546370967741,0.5,0.6228710462287105
