Config,R2,RMSE,MAE,AUC,Balanced_Acc,F1,Feature_Count,Ensemble_AUC
price_only,-0.00693938765843094,0.011838859540538644,0.008305505944781367,0.4998991935483871,0.5,0.6228710462287105,11,0.4998991935483871
sentiment_only,-0.0027118857100607574,0.011813981457622103,0.00821422705119073,0.5208543346774194,0.5044102822580645,0.6203473945409429,12,0.5208543346774194
no_lag_return,0.00030463283351511716,0.011796197716677106,0.008203499808946758,0.5311365927419355,0.5016885080645161,0.6126582278481013,16,0.5311365927419355
full_model,-0.019364898711620615,0.011911680630567235,0.00822544916995682,0.5228578629032259,0.5,0.6228710462287105,19,0.5474546370967741
