Config,R2,RMSE,MAE,AUC,Balanced_Acc,F1,Feature_Count,Ensemble_AUC
price_only,-0.0218628522589732,0.0218700183711963,0.0149846451722865,0.5239479512735327,0.5,0.6369119420989143,11,0.4631782945736434
sentiment_only,-0.0322326873984142,0.0219807064271913,0.0150779718476882,0.4717607973421927,0.4718111346018322,0.5641748942172073,12,0.5306050538608678
no_lag_return,-0.0350869715389086,0.022011075486162,0.0149235909154759,0.5100926205577369,0.4998301117487164,0.6248431618569636,16,0.4868871438638881
full_model,-0.0229177390739643,0.0218813038597779,0.0148296241072471,0.4619702003422934,0.4969420114768952,0.6308068459657702,19,0.5092746400885936
